GapMinCollection_Beta	FullBackup
GapMinCollection_Beta	FullBackup
GapMinCollection_Beta	FullBackup
GapMinCollection_Beta	FullBackup
6.0	0.0	2.7963190603300125	8.145062500000108
12.0	0.0	-2.552424379340083	8.145062500000108
18.0	0.0	-7.90116781901018	8.145062500000108
24.0	0.0	-13.249911258680275	8.145062500000108
30.0	0.0	-18.59865469835037	8.145062500000108
36.0	0.0	-23.947398138020468	8.145062500000108
42.0	0.0	-29.296141577690562	8.145062500000108
48.0	0.0	-34.64488501736066	8.145062500000108
54.0	0.0	-39.99362845703075	8.145062500000108
60.0	0.0	-45.34237189670085	8.145062500000108

GapMinCollection_Beta	FullBackup
6.0	0.0	2.115803984891314	8.145062500000108
12.0	0.0	-3.9134545302174946	8.145062500000108
18.0	0.0	-9.942713045326304	8.145062500000108
24.0	0.0	-15.971971560435112	8.145062500000108
30.0	0.0	-22.00123007554392	8.145062500000108
36.0	0.0	-28.03048859065273	8.145062500000108
42.0	0.0	-34.05974710576154	8.145062500000108
48.0	0.0	-40.089005620870346	8.145062500000108
54.0	0.0	-46.11826413597915	8.145062500000108
60.0	0.0	-52.14752265108796	8.145062500000108

